id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,year,profit,roi,imdb_url
0,Trauma Center,5.5,387.0,Released,2019-12-06,92968.0,87.0,0.0,tt9625664,en,Trauma Center,"Lt. Wakes is a vengeful police detective determined to solve the murders of his partner and an informant, and joins forces with a witness injured during the shootings. After the killers pursue the witness across the abandoned floor of a hospital, she confirms Wakes's worst fears.",1.4166,The enemy is closer than you think.,"Action, Thriller","Lionsgate, Grindstone Entertainment Group, EFO Films, BondIt Media Capital, Pimienta","Puerto Rico, United States of America","English, Español","Kathryn Wrenn Woods, Leslee Emmett, Carroll 'Pinky' Duwart III, Jesse Pruett, Alanna Tremblay, Samantha Rakell, Orlando Rodriguez, Texas Battle, Sergio Rizzuto, Jaime Irizarry, Nicky Whelan, Lynn Gilmartin, Catherine Davis, Koldo Fombellida, Katira Maria, Don Abbatiello, Bruce Willis, Tyler Jon Olson, Lydia Styslinger, Steve Guttenberg, Jonathan Galanis, Roman Mitichyan, Adam Huel Potter, Reila Aphrodite, Tito Ortiz, David B. Meadows, Jean Pierre Prats, Lala Kent, Heather Johansen",Matt Eskandari,Bryan Koss,Paul J. Da Silva,"Stan Wertlieb, Alex Eckert, George Furla, Barry Brooker, Arianne Fraser, Diana Príncipe, Tyler Gould, Ceasar Richbow, Alastair Burlingham, Randall Emmett, Matthew Helderman, Timothy C. Sullivan, Paul Weinberg, Mark Stewart, Luillo Ruiz, Delphine Perrier, Montgomery Blencowe, Grady Craig, Charlie Dombek, Luke Taylor, Ted Fox, Henry Winterstern, Walter Josten, Gary Raskin, Cyril Megret, Lydia Hull",Nima Fakhrara,4.0,12165.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/8K73wvCTBA3XKgZTtOZWgENUnis.jpg,2019,92968.0,0.0,https://www.imdb.com/title/tt9625664/
1,Dawn of the Planet of the Apes,7.331,11649.0,Released,2014-07-08,710644566.0,130.0,170000000.0,tt2103281,en,Dawn of the Planet of the Apes,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",10.1942,One last chance for peace.,"Science Fiction, Action, Drama, Thriller","TSG Entertainment, Chernin Entertainment, Ingenious Media, 20th Century Fox","United Kingdom, United States of America",English,"Keir O'Donnell, Doc Shaw, Michael Papajohn, Mel Powell, Christopher Berry, Keri Russell, Thomas Rosales Jr., Anthony A. Kung, Allyson Leigh Jordan, Karin Konoval, Kirk Acevedo, Toby Kebbell, Lee Ross, Jason Clarke, Mike Seal, Andy Serkis, Al Vicente, J.D. Evermore, Michael Bloomberg, John L. Armijo, Gary Oldman, Terry Notary, Scott Lang, Sergio Kato, Mike R. Moreau, Angela Kerecz, Jocko Sims, Jazzy Ellis, John Parsons, Kevin Rankin, Deneen Tyler, Mustafa Harris, Kodi Smit-McPhee, Lynnanne Zager, Jon Eyez, Joe Bravo, Carol Sutton, Lucky Johnson, Nick Thurston, Judy Greer, Chase Boltin, Timothy Wyant, Matthew James, Lombardo Boyar, Carl Joseph Schreiber, Richard King, Steve D'Assis, Barack Obama, Bobby Kerecz, John R Mangus, Enrique Murciano",Matt Reeves,Michael Seresin,"Rick Jaffa, Amanda Silver, Mark Bomback","Amanda Silver, Dylan Clark, Peter Chernin, Thomas M. Hammel, Rick Jaffa, Jenno Topping, Mark Bomback",Michael Giacchino,7.6,499687.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/kScdQEwS9jPEdnO23XjGAtaoRcT.jpg,2014,540644566.0,318.02621529411766,https://www.imdb.com/title/tt2103281/
2,Gone in Sixty Seconds,6.434,4540.0,Released,2000-06-09,237200000.0,118.0,90000000.0,tt0187078,en,Gone in Sixty Seconds,"Upon learning that he has to come out of retirement to steal 50 cars in one night to save his brother Kip's life, former car thief Randall ""Memphis"" Raines enlists help from a few ""boost happy"" pals to accomplish a seemingly impossible feat. From countless car chases to relentless cops, the high-octane excitement builds as Randall swerves around more than a few roadblocks to keep Kip alive.",9.9609,"Ice Cold, Hot Wired.","Action, Crime, Thriller","Touchstone Pictures, Jerry Bruckheimer Films",United States of America,English,"Grace Zabriskie, Douglas Bennett, Cosimo Fusco, King Alexander, Steve Danton, Dan Hildebrand, Jaime Bergman, Jesse Corti, Scott Burkholder, Rainbow Borden, Lombardo Boyar, Anthony Boswell, Scott Caan, Nicolas Cage, William Lee Scott, Joseph Patrick Kelly, Tyler Patton, Juan Pina, Delroy Lindo, Greg Collins, Bodhi Elfman, Giovanni Ribisi, Nick Meaney, Scott Rosenberg, Holiday Hadley, Harry Van Gorkum, Lois Hall, Arye Gross, Vinnie Jones, James Duval, Margaret Kontra Palmer, Michael Peña, Tim DeZarn, Vic Manni, Sanjay Pandya, Michael Owen, Alexandra Balahoutis, Kevin West, Grace Una, C.J. Picerni, Frances Fisher, Stephen Shellen, Robert Duvall, Billy Devlin, Billy 'Sly' Williams, Alex Walters, John Carroll Lynch, Angelina Jolie, Carmen Argenziano, Christopher Eccleston, Kevin Weisman, Eddie Mui, Will Patton, Timothy Olyphant, Trevor Goddard, Dean Rader Duval, Doria Anselmo, T.J. Cross, Chi McBride, Charlene Bloom, Master P, Angela Tassoni",Dominic Sena,Paul Cameron,"H.B. Halicki, Scott Rosenberg","Barry H. Waldman, Chad Oman, Mike Stenson, Robert Stone, Webster Stone, Jonathan Hensleigh, Denice Shakarian Halicki, Jerry Bruckheimer",Trevor Rabin,6.5,302778.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/lFsJJjnGcNhewSIM9XBTaHsI2et.jpg,2000,147200000.0,163.55555555555557,https://www.imdb.com/title/tt0187078/
3,Malcolm & Marie,7.0,1391.0,Released,2021-01-29,0.0,106.0,2500000.0,tt12676326,en,Malcolm & Marie,"As a filmmaker and his girlfriend return home from his movie premiere, smoldering tensions and painful revelations push them toward a romantic reckoning.",15.308,Madly in love.,"Drama, Romance",Little Lamb Productions,United States of America,English,"Zendaya, John David Washington",Sam Levinson,Marcell Rév,Sam Levinson,"Yariv Milchan, Zendaya, Kevin Turen, Ashley Levinson, Will Greenfield, John David Washington, Sam Levinson, Kid Cudi, Aaron L. Gilbert, Michael Schaefer",Labrinth,6.6,42464.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/bdidDnAZwchN5vTenoNuhGPJTri.jpg,2021,0.0,0.0,https://www.imdb.com/title/tt12676326/
4,Norma Rae,7.2,179.0,Released,1979-03-02,22228000.0,110.0,4500000.0,tt0079638,en,Norma Rae,"Norma Rae is a southern textile worker employed in a factory with intolerable working conditions. This concern about the situation gives her the gumption to be the key associate to a visiting labor union organizer. Together, they undertake the difficult, and possibly dangerous, struggle to unionize her factory.",1.1742,The story of a woman with the courage to risk everything for what she believes is right.,Drama,20th Century Fox,United States of America,English,"Bill Pannell, Barbara Baxley, Lee de Broux, Joe Dorsey, George R. Robertson, Clayton Landey, Bob Minor, Scott Lawton, Roy Tatum, Bob Hannah, Ron Leibman, Weona T. Brown, Bert Freed, Martin Ritt, Morgan Paull, Gina Kaye Pounders, Grace Zabriskie, J. Don Ferguson, Vernon Weddle, Sherry Velvet Foster, Gregory Walcott, Harold E. Finch, Jack Stryker, Frank McRae, Charlie Briggs, Gerry Okuneff, Gilbert Green, Paul Ellen, Thomas D. Samford III, Carolyn Danforth, Beau Bridges, Sally Field, Stuart Culpepper, James W. Harris, Billie Joyce Buck, Jerry Michael Ray, Gail Strickland, Mary Munday, Booth Colman, Lonny Chapman, Pat Hingle, Sandra Dorsey, Henry Slate, Noble Willingham, Melissa Ann Wait, James Luisi, Edith Ivey, Robert Broyles, Fred Covington, John Calvin",Martin Ritt,John A. Alonzo,"Harriet Frank Jr., Irving Ravetch, Norman Gimbel","Alexandra Rose, Tamara Asseyev",David Shire,7.3,13414.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/6au7WBVYoKhV1jORyFSIRszb46S.jpg,1979,17728000.0,393.9555555555556,https://www.imdb.com/title/tt0079638/
5,Cats,4.054,986.0,Released,2019-12-19,77276321.0,110.0,95000000.0,tt5697572,en,Cats,A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.,6.2401,You will believe.,"Fantasy, Comedy, Drama","Universal Pictures, Perfect World Pictures, Working Title Films, Amblin Entertainment, Monumental Pictures, The Really Useful Group","China, United Kingdom, United States of America",English,"Jamal Ahmed, Nicole Bondzie, Emma Caffrey, Francesca Hayward, Leonardo Feng, Selina Hamilton, Zhanè Samuels, Olivia Cowley, Jaih Betote, Chrissy Brooke, Jennifer Hudson, Olivia Brooks, James Corden, Bethany Huckle, Corey Snide, Jaron Johnson, Roxanne Milliner, Zizi Strallen, Tom Clark, Redmand Rance, Rebel Wilson, Freya Rowley, Aaron Jenkins, Steven McRae, Erica-Jayne Alden, Samuel Baxter, Bluey Robinson, Yasmin Harrison, Kie Willis, Jason Derulo, Idris Elba, Lynn Jung, Joel Swedensky, Danny Collins, Cory English, Mette, Gabrielle Lewis-Dodson, Melissa Madden-Gray, Shay Barclay, Yasmin Cogan, Sophie Carmen-Jones, Meesha Garbett, Judi Dench, Taylor Swift, Eric Underwood, Jon-Scott Clark, Abigayle Honeywill, Hannah Faith-Marram, Ray Winstone, Sharifa Butterfly, Kolton Krouse, Chase Collard, Katie Moreton-Hughes, Ella Martine, Rufus Lacey, Temba Mliswa, Jazz Peters, Robert Fairchild, Muti Musafiri, Clemmie Sveaas, Naoimh Morgan, Daniela Norman, Ian McKellen, Laurent Bourgeois, Kalene Jeans, Po-Lin Tung, Larry Bourgeois, Ida Saki, Tommy Franzen, Jonadette Carpio, Laurie Davidson, Jade Albertson, Maggie Daniels, Ponciano Almeida, Benjamin Milan, Gregory Mann, Chelsea Hogg, Hannah Amin, Harriet Turnbull",Tom Hooper,Christopher Ross,"T. S. Eliot, Tom Hooper, Taylor Swift, Lee Hall, Andrew Lloyd Webber, Trevor Nunn","Tom Hooper, Angela Morrison, Tim Bevan, Jo Burn, Liza Chasin, Eric Fellner, Andrew Lloyd Webber, Debra Hayward",Andrew Lloyd Webber,2.8,57709.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/aCNch5FmzT2WaUcY44925owIZXY.jpg,2019,0.0,0.0,https://www.imdb.com/title/tt5697572/
6,Quest for Real Immunity,0.0,0.0,Released,2018-01-26,0.0,95.0,100000.0,tt10097954,en,Quest for Real Immunity,Searching outside of ourselves for sustainable health is not the answer. The new paradigm for vibrant health is integrity and authenticity; we can honor innate intelligence. This feature documentary focuses on dispelling the fear surrounding disease by encouraging viewers to trust their intuition and explore the possibility of encountering REAL IMMUNITY.,0.0256,The Quest for Real Immunity Begins Here,Documentary,"Triple Threat, WhatWorks",United States of America,English,"Andrew Wakefield, Janet Levatin, Torako Yui, Cilla Whatcott, Kendra Becker-Musante, Paul Thomas, Christine Stueve, Andrea Moonen, Thomas Cowan, Debra Gambrell, Jeanne Ohm, Harry van der Zee, Bob Zajac, Tetyana Obukhanych",Cilla Whatcott,Luke J. Ogrodnik,"Susan Hoffa, Cilla Whatcott","Neal Whatcott, Cilla Whatcott","Luke J. Ogrodnik, Peter Ogrodnik",8.0,11.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/gjccHTQRTQRKU0MqEGLIneRsepO.jpg,2018,0.0,0.0,https://www.imdb.com/title/tt10097954/
7,Forget Paris,6.3,159.0,Released,1995-05-19,33177694.0,101.0,0.0,tt0113097,en,Forget Paris,"Mickey Gordon is a basketball referee who travels to France to bury his father. Ellen Andrews is an American living in Paris who works for the airline he flies on. They meet and fall in love, but their relationship goes through many difficult patches.",1.3155,A comedy about love...after marriage.,"Comedy, Drama, Romance","Castle Rock Entertainment, Face Productions",United States of America,"English, Français","Mary Ann Hermansen, John Spencer, Andre Rosey Brown, Tim Hardaway, John Starks, Paul Westphal, Robert Hunter Jr., David St. James, Deb Lacusta, Beverly Piper, Ken Johnson, Roberto Bonanni, Billy Crystal, Jay Rasumny, Andreas Tessi, Allan Kolman, Janette Caldwell, Clint Howard, Jean Shum, Sean Elliott, Charles Oakley, Rush Limbaugh, Marty Brinton, Charlotte Etienne, Chris Shaver, David Robinson, David Sanborn, Patrick Thomas O'Brien, Marty McSorley, Kareem Abdul-Jabbar, Debra Winger, Liz Sheridan, Irving Wasserman, Blythe Matsui, Eric Christian, Margaret Nagle, Chris Mullin, Bill Laimbeer, Spud Webb, Hedwige De Mouroux, Genelle Baumgardner, Zack Eginton, Patrick Ewing, Bill Walton, Lisa Sherrill Gannon, Kurt Rambis, Julie Kavner, William Hickey, Joe Mantegna, Dan Majerle, Lisa Rieffel, Johnny Williams, Kevin Johnson, Joie Shettler, Emmy Smith, Judyann Elder, Gregory Paul Jackson, Richard Masur, Robert Costanzo, Andrea Toste, Tom Wright, Cathy Moriarty, Ron Ross, Charles Barkley, Isiah Thomas, Marques Johnson, Reggie Miller, Jennifer Mickelson, Andy Flaster, Phil Forman, Tom Ohmer, Tim Halligan, Marv Albert, Richard Haje, Jo Farkas, Richard Assad, Bert Copello, Rick Gunderson, Cynthia Stevenson, Dan Castellaneta, Tim Albern, E.E. Bell",Billy Crystal,Don Burgess,"Lowell Ganz, Babaloo Mandel, Billy Crystal","Peter Schindler, Billy Crystal",Marc Shaiman,6.5,13422.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/c2RwGHqWwvh7nmRKpdIyYUWMEvP.jpg,1995,33177694.0,0.0,https://www.imdb.com/title/tt0113097/
8,The Cement Garden,6.847,98.0,Released,1993-02-20,322975.0,105.0,0.0,tt0106535,en,The Cement Garden,"After the death of her husband, the mother of Julie, Jack, Sue and Tom begins to suffer from a mysterious illness. Aware that she is going to have to go into hospital she opens a bank account for the children, so that they can be financially self-sufficient and will be able to avoid being taken into care by the authorities. Unfortunately she also dies and Julie and Jack (the older, teenage children) decide to hide her body in the basement so that they can have free reign of their household. Soon Tom has taken to dressing as a girl whilst Sue has become increasingly reticent, confiding only to her diary, meanwhile Jack and Julie sense an attraction developing for each other. However Julie's new beau, Derek, threatens to unearth the many dark secrets within this family as he becomes increasingly suspicious of Jack.",1.2791,Love knows no limits.,Drama,"Laurentic Film Productions, Torii Production, ZDF, Constantin Film","France, Germany, United Kingdom",English,"Alice Coulthard, Andrew Robertson, Sinéad Cusack, Mike Clarke, Gareth Brown, Charlotte Gainsbourg, Ned Birkin, Jochen Horst, Dick Flockhart, William Hootkins, Hanns Zischler",Andrew Birkin,Stephen Blackman,"Ian McEwan, Andrew Birkin","Bernd Eichinger, Bee Gilbert, Martin Moszkowicz",Edward Shearmur,7.0,5608.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/vtaZ8nJ46UKkqlHOgcdeMoYr9N0.jpg,1993,322975.0,0.0,https://www.imdb.com/title/tt0106535/
9,The Tailor of Panama,6.039,499.0,Released,2001-03-30,28000000.0,109.0,21000000.0,tt0236784,en,The Tailor of Panama,"A British spy is banished to Panama after having an affair with an ambassador's mistress. Once there he makes connection with a local tailor with a nefarious past and connections to all of the top political and gangster figures in Panama. The tailor also has a wife, who works for the Panamanian president and a huge debt. The mission is to learn what the President intends to do with the Canal.",1.9837,"In a place this treacherous, what a good spy needs is a spy of his own.","Drama, Thriller","Merlin Films, Columbia Pictures","Ireland, United States of America","English, Español","Catherine McCormack, Ken Jenkins, Heather Emmanuel, Andrew French, Adolfo Arias Espinoza, Dylan Baker, Vladimir Vega, Paolo Tulio, Martin Savage, Jonathan Hyde, César Sanjur, Frank Melia, Patrick Poletti, Edgardo Molino, Diomara De Ruiz, Daniel Radcliffe, Juan Carlos Adames, Harold Pinter, Jamie Lee Curtis, Lola Boorman, Siraj Zaidi, Doug Cockle, Leonor Varela, Lisa Dwan, David Hayman, Mark Margolis, Martin Ferrero, Pierce Brosnan, John Fortune, Luis Antonio Gotti, Harry Ditson, Jon Polito, Brendan Gleeson, Paul Birchard, Geoffrey Rush, Iris de Arco",John Boorman,Philippe Rousselot,"Andrew Davies, John le Carré, John Boorman",John Boorman,Shaun Davey,6.1,32049.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/na80ysnoCvoxwGTMWCWYvnmaDlz.jpg,2001,7000000.0,33.33333333333333,https://www.imdb.com/title/tt0236784/
